                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2012, Quantachrome Instruments
                                            version 3.0

Analysis                                          Report
Operator:      QC             Date:2016/10/07     Operator: ir                  Date:2020/05/06
Sample ID:     ih_DUT-60_183b      Filename:      ih_DUT-60_183b.qps
Sample Desc:                       Comment:       ih_DUT-60_183b
Sample Weight: 0.0081 g            Instrument:    Autosorb iQ Station 1
Approx. Outgas Time:12.0 hrs       Final Outgas Temp.:30 °C           Extended info: Available
Analysis gas:  Nitrogen            Non-ideality:  6.58e-05 1/Torr     CellType:      9mm w/o rod
Analysis Time: 19:41 hr:min        Bath temp.:    77.35 K
Analysis Mode: Standard                                               VoidVol Remeasure:off
VoidVol. Mode: He Measure          Cold Zone V:   8.08555 cc          Warm Zone V:   14.5904 cc

      Press            P0         Volume @ STP        Time             Tol             Equ

      Torr            Torr             cc              min

     247.836         760.07           22.8615        894.7             2               3
     229.109         760.19           22.6328        899.4             2               3
     211.665         760.08           22.284         905.2             2               3
     207.936         760.16           22.2059        908.8             2               3
     197.799         759.81           21.4396        919.3             2               3
     194.996         760.05           20.5201        931.4             2               3
     193.045         759.92           19.7619        943.5             2               3
     191.556         760.05           19.117         957.7             2               3
     191.144         759.85           18.8586        964.3             2               3
     185.66          760.13           17.5488        978.7             2               3
     179.931         759.44           16.689         991.0             2               3
     174.265         759.71           16.2637        998.0             2               3
     171.477         759.71           16.0533       1003.9             2               3
     159.683         759.54           15.2807       1013.1             2               3
     154.557         759.63           14.9062       1020.2             2               3
     152.19          759.44           14.7156       1025.5             2               3
     142.761         759.72           13.7917       1035.8             2               3
     139.257         759.66           13.1377       1045.1             2               3
     137.208         759.53           12.6414       1053.4             2               3
     134.731         759.13           11.973        1065.0             2               3
     134.01          759.24           11.7105       1071.2             2               3
     128.046         759.29           10.4457       1083.1             2               3
     121.967         758.98            9.65217      1092.7             2               3
     117.157         759.36            9.22572      1099.6             2               3
     114.395         759.39            9.01896      1104.6             2               3
     103.443         759.20            8.19719      1113.4             2               3
      98.0489        759.41            7.79292      1119.8             2               3
      94.9621        759.62            7.62839      1124.1             2               3
      82.5676        759.37            6.96066      1131.0             2               3
      77.4564        759.42            6.68217      1136.0             2               3
      75.3681        759.29            6.56574      1140.0             2               3
      63.1908        759.32            5.92909      1146.1             2               3
      58.2926        759.23            5.66604      1151.0             2               3
      44.5776        759.00            4.91694      1157.3             2               3
      39.6371        759.24            4.6271       1162.5             2               3
      37.5644        759.25            4.49829      1166.7             2               3
      26.0152        759.10            3.704        1173.5             2               3
      20.1277        759.47            3.18704      1181.8             2               3
