ファイル名,Asch065B_C2H6_298K_Exp190327.DAT
測定日,19/03/27
測定時間,32:21:22
コメント１,Asch065B
コメント２,noro
コメント３,120℃24時間真空乾燥
コメント４,試料管リーク量：0.098Pa/min
シリアルナンバー,00508
バージョン,
サンプル質量,8.2700E-02,[g]
装置本体基準容積,9.0090,[cm^3]
サンプル部死容積,6.3450,[cm^3]
平衡時間,0,[SEC]
吸着質名称,C2H6
空気恒温槽温度,0.0000,[℃]
吸着温度,298.00,[K]
飽和蒸気圧,6098.0,[kPa]
吸着断面積,0.0000,[nm^2]
壁面吸着補正ファイル名,
壁面吸着補正値１,
壁面吸着補正値２,
吸着データ数,79
脱着データ数,73

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
6,0.0000,81.891,0.0000,6098.0,1.3429E-02,82.347
7,0.0000,76.435,0.0000,6098.0,1.2534E-02,80.364
8,0.0000,72.760,0.0000,6098.0,1.1932E-02,78.862
9,0.0000,68.578,0.0000,6098.0,1.1246E-02,76.922
10,0.0000,67.450,0.0000,6098.0,1.1061E-02,76.346
11,0.0000,63.950,0.0000,6098.0,1.0487E-02,74.453
12,0.0000,62.907,0.0000,6098.0,1.0316E-02,73.815
13,0.0000,59.532,0.0000,6098.0,9.7625E-03,71.714
14,0.0000,58.473,0.0000,6098.0,9.5889E-03,70.921
15,0.0000,55.200,0.0000,6098.0,9.0521E-03,68.501
16,0.0000,54.032,0.0000,6098.0,8.8606E-03,67.529
17,0.0000,50.872,0.0000,6098.0,8.3424E-03,64.794
18,0.0000,49.521,0.0000,6098.0,8.1209E-03,63.681
19,0.0000,45.976,0.0000,6098.0,7.5395E-03,61.178
20,0.0000,44.726,0.0000,6098.0,7.3345E-03,60.287
21,0.0000,41.351,0.0000,6098.0,6.7811E-03,57.779
22,0.0000,40.163,0.0000,6098.0,6.5863E-03,56.842
23,0.0000,38.978,0.0000,6098.0,6.3919E-03,55.885
24,0.0000,37.615,0.0000,6098.0,6.1684E-03,54.749
25,0.0000,36.183,0.0000,6098.0,5.9336E-03,53.506
26,0.0000,34.727,0.0000,6098.0,5.6948E-03,52.191
27,0.0000,34.143,0.0000,6098.0,5.5990E-03,51.678
28,0.0000,33.052,0.0000,6098.0,5.4201E-03,50.607
29,0.0000,31.713,0.0000,6098.0,5.2006E-03,49.304
30,0.0000,31.166,0.0000,6098.0,5.1109E-03,48.754
31,0.0000,30.099,0.0000,6098.0,4.9359E-03,47.628
32,0.0000,28.784,0.0000,6098.0,4.7202E-03,46.235
33,0.0000,28.229,0.0000,6098.0,4.6292E-03,45.600
34,0.0000,27.154,0.0000,6098.0,4.4529E-03,44.385
35,0.0000,25.856,0.0000,6098.0,4.2401E-03,42.878
36,0.0000,25.267,0.0000,6098.0,4.1435E-03,42.191
37,0.0000,24.213,0.0000,6098.0,3.9706E-03,40.879
38,0.0000,23.726,0.0000,6098.0,3.8908E-03,40.257
39,0.0000,22.708,0.0000,6098.0,3.7238E-03,38.940
40,0.0000,21.454,0.0000,6098.0,3.5182E-03,37.265
41,0.0000,20.862,0.0000,6098.0,3.4211E-03,36.442
42,0.0000,19.954,0.0000,6098.0,3.2722E-03,35.190
43,0.0000,19.524,0.0000,6098.0,3.2017E-03,34.564
44,0.0000,18.558,0.0000,6098.0,3.0433E-03,33.149
45,0.0000,18.080,0.0000,6098.0,2.9649E-03,32.434
46,0.0000,17.106,0.0000,6098.0,2.8052E-03,30.949
47,0.0000,16.607,0.0000,6098.0,2.7234E-03,30.185
48,0.0000,15.633,0.0000,6098.0,2.5636E-03,28.653
49,0.0000,15.135,0.0000,6098.0,2.4820E-03,27.849
50,0.0000,14.165,0.0000,6098.0,2.3229E-03,26.251
51,0.0000,13.662,0.0000,6098.0,2.2404E-03,25.411
52,0.0000,12.689,0.0000,6098.0,2.0808E-03,23.764
53,0.0000,12.181,0.0000,6098.0,1.9975E-03,22.883
54,0.0000,11.220,0.0000,6098.0,1.8399E-03,21.188
55,0.0000,10.697,0.0000,6098.0,1.7542E-03,20.275
56,0.0000,9.7314,0.0000,6098.0,1.5958E-03,18.544
57,0.0000,9.2121,0.0000,6098.0,1.5107E-03,17.600
58,0.0000,8.9323,0.0000,6098.0,1.4648E-03,17.086
59,0.0000,8.1007,0.0000,6098.0,1.3284E-03,15.537
60,0.0000,7.6423,0.0000,6098.0,1.2532E-03,14.694
61,0.0000,6.7215,0.0000,6098.0,1.1022E-03,12.944
62,0.0000,6.2104,0.0000,6098.0,1.0184E-03,11.983
63,0.0000,5.9386,0.0000,6098.0,9.7386E-04,11.456
64,0.0000,5.1111,0.0000,6098.0,8.3816E-04,9.8645
65,0.0000,4.6568,0.0000,6098.0,7.6366E-04,8.9875
66,0.0000,3.7279,0.0000,6098.0,6.1133E-04,7.1960
67,0.0000,3.2249,0.0000,6098.0,5.2885E-04,6.2098
68,0.0000,2.9450,0.0000,6098.0,4.8295E-04,5.6728
69,0.0000,2.3041,0.0000,6098.0,3.7785E-04,4.4326
70,0.0000,1.8376,0.0000,6098.0,3.0134E-04,3.5166
71,0.0000,1.5130,0.0000,6098.0,2.4811E-04,2.8756
72,0.0000,1.0709,0.0000,6098.0,1.7561E-04,2.0102
73,0.0000,0.6937,0.0000,6098.0,1.1375E-04,1.2745
