File Name,RGE-343-DUT32-7dCO2_Nitrogen.DAT
Date of measurement,13/01/30
Time of measurement,39:37:15
COMMENT1,RGE-343_DUT-32-7d
COMMENT2,irena
COMMENT3,
COMMENT4,, Vacuum degree before measurement:1.060E-1Pa
Serial number,00218
Version,
Sample weight,1.8400E-02,[g]
Standard volume,27.698,[cm^3]
Dead volume,25.013,[cm^3]
Equilibrium time,0,[SEC]
Adsorptive,N2
Apparatus temperature,0.0000,[C]
Adsorption temperature,77.000,[K]
Saturated vapor pressure,101.33,[kPa]
Adsorptive cross section area,0.1620,[nm^2]
File name of wall adsorption,
Wall adsorption correction value1,
Wall adsorption correction value2,
Number of adsorption data point :,293
Number of desorption data point :,4

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
84,0.0000,2.8881,0.0000,101.33,2.8502E-02,693.14
85,0.0000,2.9409,0.0000,101.33,2.9023E-02,700.71
86,0.0000,2.9977,0.0000,101.33,2.9584E-02,707.58
87,0.0000,3.0465,0.0000,101.33,3.0065E-02,714.25
88,0.0000,3.0993,0.0000,101.33,3.0586E-02,720.91
89,0.0000,3.1561,0.0000,101.33,3.1147E-02,727.90
90,0.0000,3.2089,0.0000,101.33,3.1668E-02,735.20
91,0.0000,3.2658,0.0000,101.33,3.2229E-02,742.77
92,0.0000,3.3226,0.0000,101.33,3.2790E-02,749.87
93,0.0000,3.3795,0.0000,101.33,3.3351E-02,756.59
94,0.0000,3.4363,0.0000,101.33,3.3912E-02,763.42
95,0.0000,3.4932,0.0000,101.33,3.4474E-02,770.10
96,0.0000,3.5378,0.0000,101.33,3.4914E-02,777.01
97,0.0000,3.5947,0.0000,101.33,3.5475E-02,783.79
98,0.0000,3.6434,0.0000,101.33,3.5956E-02,790.67
99,0.0000,3.7043,0.0000,101.33,3.6557E-02,797.92
100,0.0000,3.7571,0.0000,101.33,3.7078E-02,804.65
101,0.0000,3.8140,0.0000,101.33,3.7639E-02,811.55
102,0.0000,3.8749,0.0000,101.33,3.8240E-02,818.67
103,0.0000,3.9318,0.0000,101.33,3.8802E-02,825.70
104,0.0000,3.9927,0.0000,101.33,3.9403E-02,832.66
105,0.0000,4.0333,0.0000,101.33,3.9804E-02,839.79
106,0.0000,4.0983,0.0000,101.33,4.0445E-02,847.43
107,0.0000,4.1957,0.0000,101.33,4.1406E-02,861.03
108,0.0000,4.2444,0.0000,101.33,4.1887E-02,868.20
109,0.0000,4.3013,0.0000,101.33,4.2448E-02,875.05
110,0.0000,4.3541,0.0000,101.33,4.2970E-02,882.71
111,0.0000,4.4597,0.0000,101.33,4.4012E-02,896.55
112,0.0000,4.5043,0.0000,101.33,4.4452E-02,903.31
113,0.0000,4.6099,0.0000,101.33,4.5494E-02,916.52
114,0.0000,4.6505,0.0000,101.33,4.5895E-02,923.28
115,0.0000,4.7033,0.0000,101.33,4.6416E-02,930.16
116,0.0000,4.8089,0.0000,101.33,4.7458E-02,944.07
117,0.0000,4.8617,0.0000,101.33,4.7979E-02,951.38
118,0.0000,4.9632,0.0000,101.33,4.8981E-02,965.13
119,0.0000,5.0160,0.0000,101.33,4.9502E-02,971.95
120,0.0000,5.1216,0.0000,101.33,5.0544E-02,985.40
121,0.0000,5.1703,0.0000,101.33,5.1024E-02,992.33
122,0.0000,5.2759,0.0000,101.33,5.2067E-02,1005.7
123,0.0000,5.3328,0.0000,101.33,5.2628E-02,1012.4
124,0.0000,5.4465,0.0000,101.33,5.3750E-02,1025.6
125,0.0000,5.5074,0.0000,101.33,5.4351E-02,1032.2
126,0.0000,5.6292,0.0000,101.33,5.5553E-02,1045.4
127,0.0000,5.6861,0.0000,101.33,5.6115E-02,1051.8
128,0.0000,5.7592,0.0000,101.33,5.6836E-02,1058.6
129,0.0000,5.8891,0.0000,101.33,5.8118E-02,1071.5
130,0.0000,5.9541,0.0000,101.33,5.8759E-02,1078.0
131,0.0000,6.0313,0.0000,101.33,5.9521E-02,1084.8
132,0.0000,6.1734,0.0000,101.33,6.0924E-02,1097.8
133,0.0000,6.2424,0.0000,101.33,6.1605E-02,1103.9
134,0.0000,6.3237,0.0000,101.33,6.2407E-02,1110.3
135,0.0000,6.4089,0.0000,101.33,6.3248E-02,1116.9
136,0.0000,7.7937,0.0000,101.33,7.6914E-02,1209.2
137,0.0000,7.8790,0.0000,101.33,7.7756E-02,1214.6
138,0.0000,7.9765,0.0000,101.33,7.8718E-02,1220.7
139,0.0000,8.0780,0.0000,101.33,7.9720E-02,1227.2
140,0.0000,8.2648,0.0000,101.33,8.1563E-02,1239.3
141,0.0000,8.3582,0.0000,101.33,8.2485E-02,1245.4
142,0.0000,8.4476,0.0000,101.33,8.3367E-02,1252.0
143,0.0000,8.6303,0.0000,101.33,8.5170E-02,1264.6
144,0.0000,8.7156,0.0000,101.33,8.6012E-02,1271.1
145,0.0000,8.8902,0.0000,101.33,8.7735E-02,1283.7
146,0.0000,8.9917,0.0000,101.33,8.8737E-02,1290.1
147,0.0000,9.1663,0.0000,101.33,9.0460E-02,1302.7
148,0.0000,9.2598,0.0000,101.33,9.1383E-02,1309.3
149,0.0000,9.4628,0.0000,101.33,9.3386E-02,1321.5
150,0.0000,9.5724,0.0000,101.33,9.4468E-02,1327.8
151,0.0000,9.6902,0.0000,101.33,9.5630E-02,1334.3
152,0.0000,9.9461,0.0000,101.33,9.8156E-02,1346.2
153,0.0000,10.052,0.0000,101.33,9.9201E-02,1351.9
154,0.0000,10.173,0.0000,101.33,0.1004,1358.0
155,0.0000,10.344,0.0000,101.33,0.1021,1364.2
156,0.0000,10.494,0.0000,101.33,0.1036,1370.7
157,0.0000,10.665,0.0000,101.33,0.1053,1376.8
158,0.0000,10.827,0.0000,101.33,0.1068,1383.1
159,0.0000,10.982,0.0000,101.33,0.1084,1389.1
160,0.0000,11.172,0.0000,101.33,0.1103,1395.2
161,0.0000,11.335,0.0000,101.33,0.1119,1401.2
162,0.0000,11.510,0.0000,101.33,0.1136,1407.4
163,0.0000,11.692,0.0000,101.33,0.1154,1413.4
164,0.0000,11.855,0.0000,101.33,0.1170,1419.9
165,0.0000,12.046,0.0000,101.33,0.1189,1426.3
166,0.0000,12.216,0.0000,101.33,0.1206,1432.6
167,0.0000,12.415,0.0000,101.33,0.1225,1439.0
168,0.0000,12.610,0.0000,101.33,0.1244,1445.4
169,0.0000,12.777,0.0000,101.33,0.1261,1452.3
170,0.0000,12.971,0.0000,101.33,0.1280,1459.0
