material,HKUST-1(Cu)
adsorbate,carbon dioxide
temperature,303.0
pressure_mode,absolute
pressure_unit,bar
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,mmol
temperature_unit,K
material_batch,KRICT
iso_type,calorimetry
date,2010-05-21 00:00:00
instrument,device1
activation_temperature,150.0
user,PI
project,ACRONYM
comment,a comment
file_version,3.0
data:[pressure,loading,branch,(otherdata)]
pressure,loading,branch,enthalpy
0.155838709677,0.762328237035,ads,28.7879686051
0.325938709677,1.53334900386,ads,28.7609392637
0.554438709677,2.49757265501,ads,28.749976751
0.807238709677,3.47012103282,ads,28.8481697142
1.03393870968,4.25550607359,ads,28.9629352
1.25153870968,4.93536780519,ads,28.8488689145
1.53033870968,5.71257320765,ads,28.7363563209
1.80973870968,6.39700776403,ads,28.5766309989
2.07673870968,6.97389987774,ads,28.5366503282
3.45743870968,9.12173999444,ads,28.970042714
5.36133870968,10.7964298573,ads,29.791154046
6.74743870968,11.5264390801,ads,31.492626289
9.17463870968,12.356451494,ads,32.9810363992
10.6609387097,12.6572985072,ads,39.6552951515
12.1094387097,12.9310244796,ads,35.1655813292
15.1416387097,13.4715688623,ads,30.4872904337
16.8738387097,13.778726163,ads,25.0111492948
18.4189387097,14.0590222875,ads,22.0622888263
20.1876387097,14.3864120507,ads,20.1857518911
24.6796387097,15.003115149,ads,20.1857518911
22.1972387097,14.9380137549,des,20.1857518911
18.2715387097,14.7136369622,des,20.1857518911
14.9745387097,14.4043483117,des,20.1857518911
12.2355387097,14.0233769959,des,20.1857518911
9.30943870968,13.4039520423,des,20.1857518911
6.72593870968,12.5311085837,des,20.1857518911
4.49893870968,11.199293307,des,20.1857518911
